Date,Value
189501,40.5
189502,46
189503,47.8
189504,53.7
189505,61.3
189506,68.6
189507,72.4
189508,72.3
189509,65.7
189510,60
189511,48.2
189512,41
189601,45.5
189602,47.1
189603,49.7
189604,49
189605,58.9
189606,70.9
189607,75.8
189608,73
189609,66.4
189610,60
189611,47.7
189612,45.6
189701,42
189702,42.2
189703,43.1
189704,56
189705,63.8
189706,68
189707,73.9
189708,74.8
189709,67.2
189710,56.3
189711,48.6
189712,41.6
189801,37.4
189802,47.2
189803,45.8
189804,56.9
189805,58.6
189806,68.7
189807,74
189808,74.9
189809,68.1
189810,59
189811,48.5
189812,41.3
189901,43.9
189902,44.6
189903,47.8
189904,54.7
189905,56.5
189906,68.4
189907,74
189908,68.9
189909,70.5
189910,55.8
189911,50.8
189912,42.8
190001,45.6
190002,46.9
190003,52.9
190004,51.1
190005,61.9
190006,69.8
190007,74.3
190008,69.9
190009,63.8
190010,57.6
190011,51.9
190012,44.2
190101,41.5
190102,45.2
190103,49.7
190104,51.5
190105,59.9
190106,67.4
190107,74.7
190108,74.8
190109,65.1
190110,60.9
190111,52
190112,44.2
190201,41.5
190202,46.1
190203,45.6
190204,52.5
190205,58.2
190206,69.1
190207,72.4
190208,72
190209,69
190210,58.1
190211,47.2
190212,42.3
190301,42
190302,38.4
190303,46.8
190304,51.6
190305,60.6
190306,69.2
190307,71.1
190308,73.1
190309,66.9
190310,60.8
190311,50.9
190312,43.1
190401,41.6
190402,45.3
190403,47.6
190404,53.6
190405,62.8
190406,69.2
190407,72.8
190408,74.5
190409,68.8
190410,58.3
190411,51.3
190412,43.2
190501,45.7
190502,47
190503,50.6
190504,54.5
190505,56.9
190506,66.4
190507,74.8
190508,73.6
190509,68
190510,58.3
190511,48.4
190512,40.7
190601,43.8
190602,48.7
190603,48
190604,52.7
190605,57.4
190606,65.5
190607,77.3
190608,73.6
190609,68
190610,60.4
190611,47.6
190612,43.2
190701,40
190702,49.9
190703,46
190704,55.5
190705,58.8
190706,64.8
190707,73
190708,71
190709,65.1
190710,59.8
190711,49.8
190712,44.6
190801,43.8
190802,43
190803,48.5
190804,55.3
190805,56
190806,64.5
190807,76.6
190808,73.1
190809,67.3
190810,55.9
190811,50.1
190812,40.7
190901,45.1
190902,43.6
190903,45.7
190904,54.7
190905,58.5
190906,68.2
190907,72.3
190908,73.1
190909,67.4
190910,57.9
190911,48.3
190912,39.9
191001,38.8
191002,42.6
191003,52.2
191004,57.2
191005,63.9
191006,66.8
191007,75
191008,73.3
191009,67.4
191010,59.9
191011,49.8
191012,45
191101,43
191102,40.2
191103,49.9
191104,51.9
191105,57.1
191106,66.7
191107,75.2
191108,71.2
191109,64.1
191110,57.1
191111,48.2
191112,39.9
191201,43.8
191202,46.5
191203,45.4
191204,49.5
191205,59.7
191206,67.5
191207,71.6
191208,70.7
191209,65.8
191210,55
191211,49.7
191212,41.3
191301,38.8
191302,43
191303,46.4
191304,52.8
191305,60.4
191306,65.4
191307,73.5
191308,75
191309,70
191310,59.7
191311,50.1
191312,42.3
191401,44.4
191402,45.5
191403,52.6
191404,54.6
191405,61.4
191406,66.8
191407,73.6
191408,73.6
191409,66.2
191410,59.1
191411,51.8
191412,38.9
191501,41.4
191502,44.2
191503,50.6
191504,54.4
191505,57
191506,67.4
191507,73.2
191508,74.8
191509,66.4
191510,60.2
191511,48.2
191512,43.1
191601,38.1
191602,47.6
191603,51.4
191604,55.6
191605,57.8
191606,66.4
191607,72.6
191608,71.7
191609,66.8
191610,53.8
191611,45.9
191612,39.3
191701,36.6
191702,42.9
191703,43.6
191704,51.4
191705,55.5
191706,69.2
191707,77.3
191708,74.1
191709,68.7
191710,62.6
191711,51.1
191712,46.5
191801,42.9
191802,43.5
191803,48.6
191804,53.9
191805,57.2
191806,73.9
191807,73.1
191808,72.3
191809,68
191810,60.8
191811,47.4
191812,40.5
191901,42.5
191902,41.8
191903,45.6
191904,54.8
191905,62.6
191906,68.2
191907,75.2
191908,74
191909,66.9
191910,54.6
191911,47.2
191912,41.9
192001,44.4
192002,45.4
192003,45.8
192004,51.9
192005,60.4
192006,67.3
192007,73
192008,74.3
192009,66.1
192010,54.5
192011,48
192012,42
192101,41.2
192102,45.6
192103,50.7
192104,52.3
192105,57.1
192106,69.1
192107,75.6
192108,72.7
192109,66.8
192110,60.8
192111,50.8
192112,45
192201,37.5
192202,41.2
192203,44.8
192204,50.3
192205,61.1
192206,69.7
192207,76
192208,72.9
192209,71.3
192210,58
192211,45.8
192212,44.1
192301,42.2
192302,43.2
192303,49.1
192304,52.1
192305,61.1
192306,63.2
192307,73.4
192308,72.5
192309,68.7
192310,57.3
192311,51.8
192312,41.8
192401,41
192402,49.6
192403,46.4
192404,54.4
192405,64.9
192406,69.9
192407,73.6
192408,72.6
192409,68.3
192410,55.6
192411,49.4
192412,40.1
192501,42.9
192502,47.3
192503,49.8
192504,54
192505,61.5
192506,68.7
192507,76.3
192508,71.6
192509,63.9
192510,56.8
192511,48
192512,44.9
192601,41.7
192602,47.4
192603,53.6
192604,57.8
192605,62.4
192606,72.4
192607,75.6
192608,73.5
192609,65.4
192610,60.6
192611,53.5
192612,41.6
192701,43.5
192702,45.8
192703,47.7
192704,53
192705,59.9
192706,68
192707,75.2
192708,72.3
192709,64.9
192710,59.9
192711,51.1
192712,41.2
192801,43.5
192802,45.9
192803,51.7
192804,53.7
192805,64.3
192806,68.3
192807,74.6
192808,73.4
192809,68.9
192810,58.1
192811,48.8
192812,40.9
192901,39.8
192902,41.8
192903,48.3
192904,50.1
192905,61.9
192906,67.5
192907,74.6
192908,75.6
192909,67.1
192910,61.4
192911,50.8
192912,47.9
193001,39.9
193002,48.8
193003,50.2
193004,56.2
193005,56.6
193006,69
193007,74.7
193008,73.3
193009,65
193010,58.1
193011,50
193012,41.5
193101,43.5
193102,47
193103,51.3
193104,57.4
193105,65.5
193106,67.8
193107,79.5
193108,75.9
193109,66.4
193110,58.9
193111,46
193112,40.2
193201,38.9
193202,42.8
193203,50.7
193204,52.8
193205,60.4
193206,68.9
193207,73.6
193208,73.3
193209,70.9
193210,59.1
193211,53.4
193212,38.4
193301,38.3
193302,39.8
193303,48.8
193304,52.8
193305,55.4
193306,67
193307,77.2
193308,75
193309,66.7
193310,64.1
193311,51.7
193312,43.8
193401,45.3
193402,48.5
193403,57.2
193404,59.8
193405,64.5
193406,66.2
193407,75.1
193408,75.2
193409,69.4
193410,60.2
193411,50.7
193412,44.4
193501,41.7
193502,45.9
193503,44.5
193504,53.6
193505,59.9
193506,70.6
193507,73.2
193508,74.7
193509,70.2
193510,57.6
193511,46.5
193512,43.7
193601,44.6
193602,44.5
193603,51
193604,56.4
193605,63.2
193606,69.5
193607,76.5
193608,75.4
193609,69
193610,60.5
193611,50.6
193612,42.2
193701,32
193702,42.1
193703,48.1
193704,52.5
193705,62.7
193706,68.6
193707,76.2
193708,75.1
193709,69.9
193710,61
193711,51.2
193712,46.5
193801,44.5
193802,43.5
193803,45.4
193804,53.6
193805,61.1
193806,69.4
193807,75.3
193808,73.7
193809,70.4
193810,57.9
193811,46.6
193812,45.6
193901,42.8
193902,40.4
193903,49.2
193904,58.3
193905,62.3
193906,68.4
193907,75.5
193908,75.6
193909,69.1
193910,59.1
193911,51.8
193912,47.3
194001,45.4
194002,46.5
194003,51.7
194004,55.7
194005,64.6
194006,72.5
194007,73.7
194008,74.7
194009,66.6
194010,60.3
194011,48.2
194012,46.1
194101,44.6
194102,47.6
194103,50.3
194104,51.3
194105,62.2
194106,66
194107,75.2
194108,71.2
194109,64.8
194110,56.4
194111,51.2
194112,43.9
194201,43
194202,42.8
194203,47.6
194204,52.5
194205,57.9
194206,67.5
194207,76.3
194208,74.2
194209,67.5
194210,60.5
194211,50.2
194212,44.6
194301,43.2
194302,46.9
194303,50.4
194304,55.7
194305,62.2
194306,64.4
194307,74.3
194308,71.8
194309,71.3
194310,59.4
194311,50.6
194312,43.8
194401,41.9
194402,42.3
194403,48
194404,50.9
194405,60.5
194406,63.7
194407,72.4
194408,73
194409,69.7
194410,61
194411,46.8
194412,44.5
194501,42.4
194502,45.4
194503,44.6
194504,53.8
194505,59.5
194506,67.6
194507,76.6
194508,73.3
194509,69.8
194510,61
194511,48.3
194512,42.8
194601,42.1
194602,42.4
194603,48
194604,56.3
194605,61
194606,67.5
194607,74.6
194608,74.4
194609,68.6
194610,55.3
194611,46.2
194612,44.2
194701,40.2
194702,48
194703,51.3
194704,56.2
194705,65
194706,67.5
194707,72.7
194708,71.5
194709,70.8
194710,59.4
194711,46
194712,42
194801,45.4
194802,42.4
194803,44.5
194804,51.5
194805,58.2
194806,67.2
194807,72.7
194808,71.9
194809,68.3
194810,59.3
194811,47.8
194812,38.6
194901,32.2
194902,39.6
194903,46.3
194904,57.3
194905,60.5
194906,69.7
194907,74
194908,71.5
194909,70.2
194910,57.4
194911,54.7
194912,41.2
195001,37.6
195002,46.2
195003,48.4
195004,56.3
195005,60.9
195006,67
195007,75.8
195008,74.4
195009,67.7
195010,61.4
195011,53.6
195012,48.2
195101,42.2
195102,44.5
195103,48.1
195104,55.1
195105,61.3
195106,68.5
195107,74.7
195108,73.1
195109,70.7
195110,58.6
195111,49.1
195112,40.8
195201,38.7
195202,44
195203,43.6
195204,54.4
195205,63
195206,64.3
195207,75.6
195208,74.3
195209,70.6
195210,63.7
195211,46.7
195212,42.2
195301,47
195302,45.3
195303,48.1
195304,52.7
195305,55.4
195306,64.5
195307,76.2
195308,71.8
195309,71
195310,58.9
195311,51.2
195312,44
195401,42.7
195402,48.7
195403,46
195404,57.5
195405,63.6
195406,66.4
195407,75.8
195408,70.4
195409,67.4
195410,59.3
195411,51.3
195412,41.8
195501,38
195502,41.7
195503,48
195504,49.6
195505,59.6
195506,67.2
195507,71.7
195508,74.9
195509,69.3
195510,61
195511,48.4
195512,45.1
195601,44.4
195602,40.7
195603,49
195604,53.2
195605,60.8
195606,68.7
195607,74.1
195608,71.4
195609,70.2
195610,57.4
195611,49.8
195612,43.9
195701,38.7
195702,48.1
195703,49.7
195704,54
195705,58.9
195706,71.3
195707,74.7
195708,72.1
195709,69.3
195710,56.7
195711,47.2
195712,44.4
195801,44
195802,48.4
195803,44.7
195804,53.2
195805,64.1
195806,67.9
195807,74.3
195808,77.1
195809,70.4
195810,63.6
195811,50.5
195812,48.5
195901,45.7
195902,43.5
195903,52.1
195904,58.8
195905,59.3
195906,71
195907,78.1
195908,73.7
195909,67.2
195910,62.1
195911,51.7
195912,44.2
196001,40.3
196002,44
196003,51.9
196004,54.8
196005,60.1
196006,73.1
196007,77.2
196008,73.9
196009,70.8
196010,59.3
196011,48.2
196012,43
196101,44.3
196102,47.3
196103,48.2
196104,55.4
196105,58.5
196106,72.4
196107,76.8
196108,75.3
196109,66.6
196110,59.4
196111,47.6
196112,41.9
196201,41.3
196202,43.6
196203,45
196204,58.2
196205,58
196206,68.2
196207,73.8
196208,73.8
196209,69.6
196210,59.8
196211,51.7
196212,45.5
196301,40.5
196302,52
196303,47.1
196304,49
196305,61.4
196306,65.8
196307,72.4
196308,72.8
196309,70.7
196310,61
196311,49.2
196312,43.1
196401,41
196402,44
196403,46.2
196404,52.5
196405,58.2
196406,66.3
196407,74.8
196408,74
196409,66.9
196410,63.8
196411,46.1
196412,45
196501,43.6
196502,45.7
196503,48.4
196504,52.8
196505,59.3
196506,64.7
196507,73.3
196508,73.7
196509,64.6
196510,63
196511,50.7
196512,40.6
196601,40.8
196602,42.1
196603,49.9
196604,57.8
196605,63.8
196606,68.8
196607,72.9
196608,75.8
196609,69
196610,60.4
196611,51
196612,43.8
196701,43.5
196702,46.6
196703,48
196704,44.9
196705,60.8
196706,66.1
196707,76.8
196708,77.8
196709,70.8
196710,61.6
196711,53.4
196712,39.6
196801,41.7
196802,50.1
196803,50.4
196804,54
196805,60.5
196806,70
196807,75.4
196808,70.9
196809,69.1
196810,59.4
196811,49.6
196812,40
196901,42.8
196902,41.5
196903,47
196904,53.4
196905,63.7
196906,66.8
196907,75.2
196908,76.1
196909,70.9
196910,56.4
196911,51
196912,45.1
197001,44.7
197002,48.3
197003,49.4
197004,49.9
197005,62.7
197006,69.4
197007,76.5
197008,75.1
197009,67.7
197010,58
197011,50.9
197012,41.2
197101,42.8
197102,45.1
197103,48
197104,51.8
197105,57.3
197106,66.8
197107,75.7
197108,76
197109,68.5
197110,55.9
197111,47.9
197112,38.7
197201,39.9
197202,46.9
197203,54.4
197204,53.8
197205,62.2
197206,69.8
197207,76.5
197208,74
197209,66.6
197210,57.3
197211,46.7
197212,39
197301,40.2
197302,45.8
197303,44.9
197304,53.9
197305,64.3
197306,71
197307,75.1
197308,73.3
197309,67.5
197310,58.9
197311,47.9
197312,44.8
197401,41.5
197402,44.4
197403,49.3
197404,52.5
197405,61.4
197406,70.8
197407,74.2
197408,73.7
197409,71.8
197410,60.5
197411,49.5
197412,42
197501,42.5
197502,43.8
197503,46
197504,47.1
197505,60.8
197506,68
197507,73.8
197508,72.1
197509,71
197510,57.5
197511,47.9
197512,44.7
197601,44.4
197602,46
197603,47.3
197604,50.8
197605,63.2
197606,67.9
197607,74.7
197608,69.8
197609,68
197610,60.6
197611,53.1
197612,43.9
197701,41.3
197702,48.8
197703,45.3
197704,56.6
197705,54.8
197706,71.4
197707,74.8
197708,75
197709,67.8
197710,61.2
197711,51.3
197712,47.4
197801,45.4
197802,46.5
197803,52.6
197804,51.5
197805,61.1
197806,69
197807,74.8
197808,73.8
197809,66.7
197810,63.7
197811,47
197812,39.2
197901,40.1
197902,43.4
197903,49.2
197904,53.6
197905,62.5
197906,69.6
197907,74.5
197908,71.9
197909,72.2
197910,61.1
197911,48.2
197912,45.7
198001,45.9
198002,48.8
198003,47.3
198004,54.5
198005,58.2
198006,65.5
198007,75.4
198008,73
198009,68.6
198010,61.4
198011,51.2
198012,47.1
198101,46.7
198102,47.7
198103,48.7
198104,56.5
198105,61.9
198106,73.2
198107,75.5
198108,75.8
198109,70.4
198110,56.7
198111,51.8
198112,46.7
198201,40.4
198202,46.9
198203,46.8
198204,52.1
198205,61.8
198206,66.4
198207,73.1
198208,73.9
198209,67.1
198210,58.4
198211,46.7
198212,42.5
198301,44.2
198302,46.8
198303,48.6
198304,49.8
198305,61.3
198306,67.5
198307,71.9
198308,73.7
198309,71
198310,61.4
198311,49.2
198312,45.2
198401,45.4
198402,46.1
198403,52
198404,52.9
198405,65.3
198406,68.2
198407,77
198408,74.9
198409,72.2
198410,56.2
198411,47.6
198412,40.8
198501,41.7
198502,45.2
198503,46.4
198504,58.2
198505,61.2
198506,72.3
198507,77.2
198508,73
198509,64.4
198510,58.9
198511,46
198512,43.4
198601,48.8
198602,48.8
198603,53.6
198604,54.6
198605,62.2
198606,71.2
198607,72.9
198608,76
198609,63.5
198610,59.1
198611,51.7
198612,44.1
198701,41.4
198702,46.2
198703,48.6
198704,59.3
198705,63.5
198706,71
198707,70.9
198708,74.3
198709,69.8
198710,64
198711,49.4
198712,40.9
198801,42.7
198802,48.5
198803,51.6
198804,55.2
198805,60.3
198806,68.2
198807,77.6
198808,74.6
198809,69.4
198810,64.6
198811,49.8
198812,42.5
198901,40.9
198902,42.7
198903,51.8
198904,60
198905,61.4
198906,69.5
198907,75.3
198908,72.1
198909,68.1
198910,58.9
198911,51.8
198912,44.8
199001,43.1
199002,42.7
199003,51.4
199004,58.4
199005,60.2
199006,69.4
199007,76.4
199008,73.7
199009,69.9
199010,62
199011,50
199012,38.4
199101,43.6
199102,51.5
199103,44.8
199104,52.7
199105,57.9
199106,66.2
199107,75.4
199108,73.2
199109,72.2
199110,64.5
199111,51.6
199112,44
199201,43.2
199202,49.1
199203,50.8
199204,58.9
199205,67
199206,69
199207,73.8
199208,76.2
199209,70.8
199210,62.6
199211,49.5
199212,40.3
199301,41.3
199302,44
199303,52.9
199304,55.2
199305,62.3
199306,68
199307,72.2
199308,73.2
199309,69.5
199310,61.4
199311,48.8
199312,43.1
199401,45.7
199402,43.7
199403,52.9
199404,55.9
199405,61.3
199406,70.9
199407,76.5
199408,75.8
199409,69.8
199410,58.6
199411,42.9
199412,42.1
199501,44.7
199502,51.3
199503,48.9
199504,52.9
199505,58.4
199506,66.1
199507,74.2
199508,75
199509,71.2
199510,62.2
199511,55.9
199512,46.4
199601,45.6
199602,48.8
199603,51.5
199604,56.8
199605,62.5
199606,70.4
199607,78.1
199608,76.7
199609,68.4
199610,59.2
199611,51.1
199612,45.6
199701,44.5
199702,46.6
199703,54
199704,55.6
199705,67.6
199706,68.4
199707,74
199708,74.9
199709,70.8
199710,59
199711,51.6
199712,42.4
199801,45.1
199802,43.6
199803,49.2
199804,51.6
199805,54.9
199806,65.2
199807,76
199808,77.2
199809,69.2
199810,57.7
199811,48.8
199812,42
199901,45
199902,44.9
199903,47.5
199904,51.3
199905,60.4
199906,67.8
199907,73.3
199908,72.6
199909,70.7
199910,63.7
199911,53
199912,45.3
200001,45.8
200002,47.2
200003,50.2
200004,57.8
200005,63.9
200006,72.2
200007,73.5
200008,75
200009,69.1
200010,58.4
200011,46
200012,46.5
200101,42.3
200102,43.1
200103,52.6
200104,52
200105,68.6
200106,71.4
200107,74.2
200108,76
200109,71.2
200110,63.6
200111,51.6
200112,42.8
200201,42.4
200202,48.2
200203,48.5
200204,56
200205,61.5
200206,71.2
200207,77.4
200208,74.4
200209,70.9
200210,59.4
200211,52.3
200212,44
200301,50
200302,45.7
200303,51.4
200304,50
200305,62
200306,71.2
200307,78.7
200308,75
200309,72.9
200310,65.4
200311,46.8
200312,44
200401,43.5
200402,44.2
200403,56.9
200404,57.3
200405,63.2
200406,70.4
200407,76.1
200408,74.8
200409,69.4
200410,58.2
200411,47.7
200412,44.6
200501,44.1
200502,47.1
200503,51.1
200504,53
200505,62.2
200506,66.2
200507,78.4
200508,75.8
200509,66.9
200510,59.9
200511,52.4
200512,46.1
200601,44.6
200602,47.7
200603,44
200604,53
200605,64.6
200606,73.2
200607,79.3
200608,73.8
200609,69.5
200610,58.8
200611,51.3
200612,43.9
200701,41.5
200702,46.7
200703,54.4
200704,56.3
200705,64.1
200706,70.5
200707,76.9
200708,76.1
200709,67.5
200710,58.6
200711,53.3
200712,41.2
200801,41.1
200802,45.8
200803,50.3
200804,54.4
200805,61.7
200806,71.1
200807,76.5
200808,76.6
200809,71.8
200810,61.8
200811,53.9
200812,42
200901,46.9
200902,45.2
200903,49.2
200904,54.3
200905,66.7
200906,67.5
200907,77.6
200908,74.8
200909,73
200910,58.1
200911,50.9
200912,41.8
201001,45.2
201002,46.8
201003,49
201004,50.9
201005,56.9
201006,69.1
201007,76.1
201008,73.4
201009,70.4
201010,60.5
201011,48.6
201012,45.8
201101,45.2
201102,43.4
201103,48.7
201104,53.4
201105,57.6
201106,66.9
201107,74.2
201108,75.2
201109,72.2
201110,61.4
201111,48.2
201112,42.8
201201,46.5
201202,46.5
201203,48.8
201204,55.8
201205,63.9
201206,69.3
201207,74.7
201208,77.8
201209,73.1
201210,62.2
201211,52.5
201212,43
201301,42.1
201302,45.3
201303,53.8
201304,58.2
201305,63.8
201306,72.4
201307,78
201308,74.4
201309,69.3
201310,58.5
201311,51.9
201312,44.1
201401,50.1
201402,49.8
201403,53.5
201404,57.7
201405,64.6
201406,71.9
201407,78.4
201408,74.9
201409,72.2
201410,64.4
201411,53.1
201412,46.8
201501,48.6
201502,53.2
201503,56.9
201504,56.7
201505,60.8
201506,74.4
201507,75
201508,76.5
201509,72.1
201510,65
201511,47.6
201512,42.3
201601,44.5
201602,51.8
201603,52.5
201604,57.9
201605,62.2
201606,73.5
201607,76.8
201608,76.2
201609,69.5
201610,60.5
201611,52.8
201612,43.4
201701,42.2
201702,47.3
201703,53.4
201704,55.6
201705,63.4
201706,72.8
201707,78.8
201708,77.9
201709,69.8
201710,62
201711,53.4
201712,47.5
201801,48.8
201802,46.6
201803,49
